Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
1;18/07/1909;Grêmio;Inter;10;0;;;Grêmio;Amistoso;Baixada;10;0;Baixada
2;17/07/1910;Grêmio;Inter;5;0;;;Grêmio;Citadino Porto Alegre;Baixada;5;0;Baixada
3;18/06/1911;Grêmio;Inter;10;1;;;Grêmio;Citadino Porto Alegre;Escola Guerra;10;1;Outros
4;23/06/1912;Grêmio;Inter;6;0;;;Grêmio;Citadino Porto Alegre;Baixada;6;0;Baixada
5;15/09/1912;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
6;08/06/1913;Inter;Grêmio;1;2;;;Grêmio;Citadino Porto Alegre;Eucaliptos;2;1;Eucaliptos
7;31/10/1915;Grêmio;Inter;1;4;;;Inter;Amistoso;Baixada;1;4;Baixada
8;30/07/1916;Inter;Grêmio;6;1;;;Inter;Citadino Porto Alegre;Eucaliptos;1;6;Eucaliptos
9;29/10/1916;Grêmio;Inter;2;3;;;Inter;Citadino Porto Alegre;Baixada;2;3;Baixada
10;10/05/1918;Inter;Grêmio;5;3;;;Inter;Citadino Porto Alegre;Eucaliptos;3;5;Eucaliptos
11;04/08/1918;Grêmio;Inter;1;0;;;Grêmio;Citadino Porto Alegre;Baixada;1;0;Baixada
12;20/07/1919;Inter;Grêmio;2;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;2;Eucaliptos
13;14/09/1919;Grêmio;Inter;3;2;;;Grêmio;Citadino Porto Alegre;Baixada;3;2;Baixada
14;02/05/1920;Inter;Grêmio;1;4;;;Grêmio;Citadino Porto Alegre;Eucaliptos;4;1;Eucaliptos
15;22/08/1920;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
16;23/09/1923;Grêmio;Inter;3;2;;;Grêmio;Amistoso;Baixada;3;2;Baixada
17;01/11/1923;Inter;Grêmio;0;1;;;Grêmio;Amistoso;Eucaliptos;1;0;Eucaliptos
18;27/04/1924;Grêmio;Inter;4;3;;;Grêmio;Amistoso;Baixada;4;3;Baixada
19;12/11/1924;Inter;Grêmio;2;1;;;Inter;Amistoso;Eucaliptos;1;2;Eucaliptos
20;24/05/1925;Grêmio;Inter;3;3;;;Empate;Citadino Porto Alegre;Baixada;3;3;Baixada
21;11/10/1925;Inter;Grêmio;2;2;;;Empate;Citadino Porto Alegre;Chácara das Camélias;2;2;Outros
22;27/06/1926;Inter;Grêmio;1;4;;;Grêmio;Citadino Porto Alegre;Eucaliptos;4;1;Eucaliptos
23;14/11/1926;Grêmio;Inter;4;3;;;Grêmio;Citadino Porto Alegre;Baixada;4;3;Baixada
24;08/05/1927;Inter;Grêmio;3;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;3;Eucaliptos
25;12/06/1927;Grêmio;Inter;1;3;;;Inter;Citadino Porto Alegre;Baixada;1;3;Baixada
26;10/06/1928;Inter;Grêmio;2;3;;;Grêmio;Citadino Porto Alegre;Eucaliptos;3;2;Eucaliptos
27;26/08/1928;Grêmio;Inter;2;2;;;Empate;Citadino Porto Alegre;Baixada;2;2;Baixada
28;19/11/1928;Inter;Grêmio;0;2;;;Grêmio;Amistoso;Eucaliptos;2;0;Eucaliptos
29;26/05/1929;Grêmio;Inter;2;1;;;Grêmio;Amistoso;Baixada;2;1;Baixada
30;14/07/1929;Inter;Grêmio;4;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;4;Eucaliptos
31;10/11/1929;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
32;04/05/1930;Grêmio;Inter;3;1;;;Grêmio;Citadino Porto Alegre;Baixada;3;1;Baixada
33;14/09/1930;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Chácara das Camélias;1;1;Outros
34;15/03/1931;Inter;Grêmio;3;0;;;Inter;Amistoso;Eucaliptos;0;3;Eucaliptos
35;26/04/1931;Inter;Grêmio;1;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;1;Eucaliptos
36;28/07/1931;Grêmio;Inter;2;0;;;Grêmio;Amistoso;Baixada;2;0;Baixada
37;18/10/1931;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
38;10/07/1932;Grêmio;Inter;2;0;;;Grêmio;Citadino Porto Alegre;Baixada;2;0;Baixada
39;30/10/1932;Inter;Grêmio;0;1;;;Grêmio;Citadino Porto Alegre;Eucaliptos;1;0;Eucaliptos
40;09/04/1933;Grêmio;Inter;5;3;;;Grêmio;Citadino Porto Alegre;Baixada;5;3;Baixada
41;13/08/1933;Grêmio;Inter;3;2;;;Grêmio;Citadino Porto Alegre;Baixada;3;2;Baixada
42;24/06/1934;Inter;Grêmio;4;3;;;Inter;Citadino Porto Alegre;Eucaliptos;3;4;Eucaliptos
43;21/10/1934;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Baixada;1;2;Baixada
44;28/07/1935;Inter;Grêmio;1;1;;;Empate;Citadino Porto Alegre;Eucaliptos;1;1;Eucaliptos
45;22/09/1935;Grêmio;Inter;2;0;;;Grêmio;Citadino Porto Alegre;Baixada;2;0;Baixada
46;15/03/1936;Grêmio;Inter;1;1;;;Empate;Amistoso;Timbaúva;1;1;Outros
47;30/08/1936;Inter;Grêmio;3;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;3;Eucaliptos
48;01/11/1936;Grêmio;Inter;0;2;;;Inter;Citadino Porto Alegre;Eucaliptos;0;2;Eucaliptos
49;31/10/1937;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
50;21/11/1937;Grêmio;Inter;2;0;;;Grêmio;Amistoso;Timbaúva;2;0;Outros
51;12/12/1937;Inter;Grêmio;3;4;;;Grêmio;Citadino Porto Alegre;Eucaliptos;4;3;Eucaliptos
52;08/05/1938;Inter;Grêmio;1;3;;;Grêmio;Citadino Porto Alegre;Eucaliptos;3;1;Eucaliptos
53;06/06/1938;Grêmio;Inter;4;4;;;Empate;Amistoso;Timbaúva;4;4;Outros
54;02/10/1938;Inter;Grêmio;3;4;;;Grêmio;Amistoso;Eucaliptos;4;3;Eucaliptos
55;01/11/1938;Grêmio;Inter;0;6;;;Inter;Amistoso;Timbaúva;0;6;Outros
56;02/04/1939;Grêmio;Inter;1;1;;;Empate;Amistoso;Baixada;1;1;Baixada
57;28/05/1939;Grêmio;Inter;2;3;;;Inter;Amistoso;Timbaúva;2;3;Outros
58;20/07/1939;Grêmio;Inter;3;3;;;Empate;Amistoso;Baixada;3;3;Baixada
59;13/08/1939;Inter;Grêmio;5;2;;;Inter;Amistoso;Eucaliptos;2;5;Eucaliptos
60;08/10/1939;Inter;Grêmio;2;3;;;Grêmio;Citadino Porto Alegre;Eucaliptos;3;2;Eucaliptos
61;17/10/1939;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Timbaúva;1;2;Outros
62;04/01/1940;Grêmio;Inter;1;6;;;Inter;Amistoso;Baixada;1;6;Baixada
63;13/02/1940;Inter;Grêmio;2;4;;;Grêmio;Citadino Porto Alegre;Eucaliptos;4;2;Eucaliptos
64;28/04/1940;Grêmio;Inter;2;3;;;Inter;Citadino Porto Alegre;Baixada;2;3;Baixada
